Название;Ссылка на изображение;Описание;Размеры;Цвета;Аромат; Цена 
Коллекция Цветы;;;;;;
Фисташковая роза;https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/flowers/flower_compositions/pistache_rose.jpg;Изысканное сочетание декора и аромата. Композиция выполнена в чаше из акрилового гипса ручной работы и украшена детально проработанными свечами в форме роз и пионов в белых и фитсашковых оттенках. Идеально для подарка или создания акцента в современном интерьере.;Диаметр 12 см;;;2 500,00 ₽
Зефирная роза;https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/flowers/flower_compositions/zefir_rose.png;Изысканное сочетание декора и аромата. Композиция выполнена в чаше из акрилового гипса ручной работы и украшена детально проработанными свечами в форме роз и пионов в  белых и розовых оттенках. Идеально для подарка или создания акцента в современном интерьере.;Диаметр 16 см;;;3 400,00 ₽
Розовый сет;https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/flowers/flower_compositions/rose_set.png;Изысканное сочетание декора и аромата. Композиция выполнена в минималистичной чаше из акрилового гипса и украшена детально проработанными свечами в форме роз белого и сиреневого цвета.  Идеально для подарка или создания акцента в современном интерьере.;Диаметр 16 см;;выбор из https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/List%20of%20fragrances.txt;3 400,00 ₽
Ароматические свечи с цветочным декором:;;;;;;
Кувшинка;https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/flowers/flower_decor/kuvsinka.png;Лаконичная и нежная композиция, которая станет центральным элементом вашего декора. Ароматическая свеча залита в фактурное кашпо из акрилового гипса и дополнена изящным цветочным декором ручной работы. Минимализм в форме и нежность в деталях - изысканный подарок для ценителей эстетики.;Диаметр 7 см;Сиреневый, белый;выбор из https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/List%20of%20fragrances.txt;1 700,00 ₽
Хризантема;https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/flowers/flower_decor/chrysanthemum.png;Элегантное воплощение чистоты и спокойствия. Ароматическая свеча в фактурном кашпо из акрилового гипса ручной работы увенчана объемным цветком хризантемы, символизирующим долголетие и гармонию. Минимализм в форме и нежность в деталях - изысканный подарок для ценителей эстетики.;Диаметр 7 см;Белый, розовый;выбор из https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/List%20of%20fragrances.txt;1 350,00 ₽
Летний луг;https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/flowers/flower_decor/summer_meadow.png;Яркая и освежающая композиция в прозрачном стекле, которая привносит в дом энергию природы. Ароматическая свеча в стильном рифленом подсвечнике украшена детально проработанными восковыми ромашками в сочных тонах. Трендовый «эко-дизайн» и игра света на гранях стекла.;Диаметр 9 см;Зеленый, желтый;выбор из https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/List%20of%20fragrances.txt;1 600,00 ₽
Фиалка;https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/flowers/flower_glass/fialka.png;Воплощение нежности и изысканного стиля в одном стеклянном стакане. Эта ароматизированная свеча ручной работы украшена реалистичными соцветиями фиалок, превращающими обычный предмет декора в настоящее произведение искусства.;Диаметр 6,6 см;Сиреневый;выбор из https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/List%20of%20fragrances.txt;1 500,00 ₽
Пион;https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/flowers/flower_glass/pion.png;Элегантная свеча в стеклянном стакане, сочетающая в себе лаконичность формы и роскошь цветочного декора. Центром композиции является искусно выполненный вручную пион с множеством тонких лепестков, который постепенно раскрывается при горении. Идеальный баланс между современным дизайном и природной нежностью для создания особого настроения.;Диаметр 6,6 см;Пудровый;выбор из https://github.com/rutasha2809-creator/PHICANDLESDECOR/blob/main/List%20of%20fragrances.txt;1 500,00 ₽
